UID	Time Start	Time End	Estimated Regime
225	12:15:32.594	12:15:32.659	0.1694
226	12:15:41.605	12:15:41.669	0.1694
227	12:15:45.936	12:15:45.995	0.1694
228	12:15:50.468	12:15:50.529	0.1694
229	12:15:54.074	12:15:54.131	0.1694
230	12:15:58.092	12:15:58.150	0.1694
231	12:16:01.297	12:16:01.359	0.1694
232	12:16:06.151	12:16:06.242	0.1084
233	12:16:10.655	12:16:10.743	0.1084
234	12:16:15.329	12:16:15.397	0.1084
235	12:16:19.098	12:16:19.150	0.1084
236	12:16:22.077	12:16:22.133	0.1084
237	12:16:26.149	12:16:26.195	0.1084
238	12:16:30.234	12:16:30.291	0.1084
239	12:16:34.514	12:16:34.573	0.1084
240	12:16:38.926	12:16:38.991	0.1084
241	12:16:44.078	12:16:44.132	0.1084
242	12:16:48.212	12:16:48.273	0.1084
243	12:16:52.702	12:16:52.768	0.1084
244	12:16:54.552	12:16:54.615	0.1084
245	12:16:56.809	12:16:56.873	0.1084
246	12:16:58.863	12:16:58.921	0.1084
247	12:17:01.773	12:17:01.829	0.1084
248	12:17:04.602	12:17:04.663	0.1084
249	12:17:09.083	12:17:09.144	0.1084
250	12:17:11.943	12:17:12.004	0.1084
251	12:17:14.198	12:17:14.256	0.1084
252	12:17:16.772	12:17:16.831	0.1084
253	12:17:19.495	12:17:19.558	0.1084
254	12:17:22.638	12:17:22.697	0.1084
255	12:17:25.878	12:17:25.945	0.1084
256	12:17:28.308	12:17:28.361	0.1084
257	12:17:31.574	12:17:31.642	0.1084
258	12:17:35.058	12:17:35.119	0.1084
259	12:17:38.625	12:17:38.686	0.1084
260	12:17:40.715	12:17:40.783	0.1084
261	12:17:45.768	12:17:45.829	0.1084
262	12:17:50.224	12:17:50.285	0.1084
263	12:17:53.686	12:17:53.749	0.1084
264	12:17:58.338	12:17:58.403	0.1084
265	12:18:02.911	12:18:02.976	0.1084
266	12:18:07.921	12:18:07.989	0.1084
267	12:18:12.683	12:18:12.747	0.1084
268	12:18:17.151	12:18:17.214	0.1084
269	12:18:21.642	12:18:21.705	0.1084
270	12:18:24.365	12:18:24.428	0.1084
271	12:18:29.308	12:18:29.377	0.1084
272	12:18:34.143	12:18:34.212	0.1084
273	12:18:38.469	12:18:38.531	0.1084
274	12:18:46.424	12:19:51.781	0.1084
275	12:19:59.483	12:19:59.632	0.1084
276	12:20:19.323	12:23:01.179	0.1084
277	12:23:00.843	12:23:00.862	0.1084
278	12:23:05.020	12:23:05.076	0.1084
279	12:23:09.384	12:23:09.444	0.1084
280	12:23:13.688	12:23:13.762	0.1084
281	12:23:18.769	12:23:18.839	0.1084
282	12:23:25.207	12:23:25.235	0.1084
283	12:23:25.968	12:24:28.442	0.1084
284	12:24:28.969	12:24:29.007	0.1084
285	12:24:33.295	12:24:33.354	0.1084
286	12:24:37.174	12:24:37.229	0.1084
287	12:24:41.036	12:24:41.102	0.1084
288	12:24:41.129	12:25:56.050	0.1084
289	12:25:56.050	12:25:56.069	0.1084
290	12:25:58.661	12:25:58.700	0.1084
