UID	Date	Time Start	Time End	Estimated Regime
160	14/12/17 	11:57:33.406	11:57:33.470	0.1694
161	14/12/17 	11:57:39.527	11:57:39.620	0.1694
162	14/12/17 	11:57:46.052	11:57:46.136	0.1694
163	14/12/17 	11:57:53.077	11:57:53.165	0.1694
164	14/12/17 	11:57:59.510	11:57:59.598	0.1694
165	14/12/17 	11:58:06.922	11:58:07.018	0.1694
166	14/12/17 	11:58:13.365	11:58:13.454	0.1694
167	14/12/17 	11:58:12.469	12:02:11.168	0.1694
168	14/12/17 	12:02:27.710	12:11:58.647	0.1694
169	14/12/17 	12:12:04.136	12:12:04.176	0.1694
170	14/12/17 	12:12:07.422	12:12:07.465	0.1694
171	14/12/17 	12:12:11.094	12:12:11.142	0.1694
172	14/12/17 	12:12:15.548	12:12:15.644	0.1694
173	14/12/17 	12:12:21.642	12:12:21.704	0.1694
174	14/12/17 	12:12:26.275	12:12:26.329	0.1694
175	14/12/17 	12:12:30.684	12:12:30.737	0.1694
176	14/12/17 	12:12:35.323	12:12:35.348	0.1694
177	14/12/17 	12:12:37.812	12:12:37.834	0.1694
178	14/12/17 	12:12:40.176	12:12:40.199	0.1694
179	14/12/17 	12:12:42.724	12:12:42.758	0.1694
180	14/12/17 	12:12:49.227	12:12:49.268	0.1694
181	14/12/17 	12:12:56.756	12:12:56.802	0.1694
182	14/12/17 	12:13:02.955	12:13:02.997	0.1694
183	14/12/17 	12:13:06.378	12:13:06.425	0.1694
184	14/12/17 	12:13:10.114	12:13:10.158	0.1694
185	14/12/17 	12:13:13.634	12:13:13.680	0.1694
186	14/12/17 	12:13:17.218	12:13:17.263	0.1694
187	14/12/17 	12:13:20.764	12:13:20.814	0.1694
188	14/12/17 	12:13:24.804	12:13:24.854	0.1694
189	14/12/17 	12:13:26.935	12:13:26.985	0.1694
190	14/12/17 	12:13:30.737	12:13:30.787	0.1694
191	14/12/17 	12:13:34.482	12:13:34.533	0.1694
192	14/12/17 	12:13:37.209	12:13:37.258	0.1694
193	14/12/17 	12:13:39.550	12:13:39.600	0.1694
194	14/12/17 	12:13:43.150	12:13:43.199	0.1694
195	14/12/17 	12:13:44.947	12:13:44.995	0.1694
196	14/12/17 	12:13:46.983	12:13:47.035	0.1694
197	14/12/17 	12:13:52.434	12:13:52.480	0.1694
198	14/12/17 	12:13:54.844	12:13:54.899	0.1694
199	14/12/17 	12:13:56.585	12:13:56.638	0.1694
200	14/12/17 	12:13:58.577	12:13:58.625	0.1694
201	14/12/17 	12:14:01.097	12:14:01.150	0.1694
202	14/12/17 	12:14:02.962	12:14:03.012	0.1694
203	14/12/17 	12:14:05.153	12:14:05.207	0.1694
204	14/12/17 	12:14:07.928	12:14:07.981	0.1694
205	14/12/17 	12:14:11.827	12:14:11.873	0.1694
206	14/12/17 	12:14:15.582	12:14:15.636	0.1694
207	14/12/17 	12:14:19.522	12:14:19.576	0.1694
208	14/12/17 	12:14:21.875	12:14:21.928	0.1694
209	14/12/17 	12:14:25.901	12:14:25.958	0.1694
210	14/12/17 	12:14:28.596	12:14:28.648	0.1694
211	14/12/17 	12:14:32.764	12:14:32.819	0.1694
212	14/12/17 	12:14:37.020	12:14:37.077	0.1694
213	14/12/17 	12:14:41.243	12:14:41.298	0.1694
214	14/12/17 	12:14:45.417	12:14:45.472	0.1694
215	14/12/17 	12:14:49.424	12:14:49.478	0.1694
216	14/12/17 	12:14:53.684	12:14:53.741	0.1694
217	14/12/17 	12:14:57.672	12:14:57.728	0.1694
218	14/12/17 	12:15:01.874	12:15:01.930	0.1694
219	14/12/17 	12:15:05.928	12:15:05.985	0.1694
220	14/12/17 	12:15:10.148	12:15:10.203	0.1694
221	14/12/17 	12:15:14.276	12:15:14.332	0.1694
222	14/12/17 	12:15:18.375	12:15:18.434	0.1694
223	14/12/17 	12:15:23.879	12:15:23.943	0.1694
224	14/12/17 	12:15:28.330	12:15:28.388	0.1694
225	14/12/17 	12:15:32.594	12:15:32.659	0.1694
226	14/12/17 	12:15:41.605	12:15:41.669	0.1694
227	14/12/17 	12:15:45.936	12:15:45.995	0.1694
228	14/12/17 	12:15:50.468	12:15:50.529	0.1694
229	14/12/17 	12:15:54.074	12:15:54.131	0.1694
230	14/12/17 	12:15:58.092	12:15:58.150	0.1694
231	14/12/17 	12:16:01.297	12:16:01.359	0.1694
232	14/12/17 	12:16:06.151	12:16:06.242	0.1084
233	14/12/17 	12:16:10.655	12:16:10.743	0.1084
234	14/12/17 	12:16:15.329	12:16:15.397	0.1084
235	14/12/17 	12:16:19.098	12:16:19.150	0.1084
236	14/12/17 	12:16:22.077	12:16:22.133	0.1084
237	14/12/17 	12:16:26.149	12:16:26.195	0.1084
238	14/12/17 	12:16:30.234	12:16:30.291	0.1084
239	14/12/17 	12:16:34.514	12:16:34.573	0.1084
240	14/12/17 	12:16:38.926	12:16:38.991	0.1084
241	14/12/17 	12:16:44.078	12:16:44.132	0.1084
242	14/12/17 	12:16:48.212	12:16:48.273	0.1084
243	14/12/17 	12:16:52.702	12:16:52.768	0.1084
244	14/12/17 	12:16:54.552	12:16:54.615	0.1084
245	14/12/17 	12:16:56.809	12:16:56.873	0.1084
246	14/12/17 	12:16:58.863	12:16:58.921	0.1084
247	14/12/17 	12:17:01.773	12:17:01.829	0.1084
248	14/12/17 	12:17:04.602	12:17:04.663	0.1084
249	14/12/17 	12:17:09.083	12:17:09.144	0.1084
250	14/12/17 	12:17:11.943	12:17:12.004	0.1084
251	14/12/17 	12:17:14.198	12:17:14.256	0.1084
252	14/12/17 	12:17:16.772	12:17:16.831	0.1084
253	14/12/17 	12:17:19.495	12:17:19.558	0.1084
254	14/12/17 	12:17:22.638	12:17:22.697	0.1084
255	14/12/17 	12:17:25.878	12:17:25.945	0.1084
